,state_time,state_inventory,action,reward,next_state - Inventory,next_state - Time,done
0,0.0,1.0,0.1,-0.018540605310352502,0.1,0.9,False
1,0.1,0.9,0.1,-0.019127823009411377,0.2,0.8,False
2,0.2,0.8,0.2,-0.08894126235934548,0.3,0.6,False
3,0.3,0.6,0.05,-0.003575778856988681,0.4,0.55,False
4,0.4,0.55,0.05,-0.0035043604881842215,0.5,0.5,False
5,0.5,0.5,0.0,0.0,0.6,0.5,False
6,0.6,0.5,0.1,-0.019689647510673078,0.7,0.4,False
7,0.7,0.4,0.1,-0.019635686965354168,0.8,0.3,False
8,0.8,0.3,0.1,-0.019770588328651487,0.9,0.2,False
9,0.9,0.2,0.2,-0.08889047596375123,1.0,0.0,True
10,0.0,1.0,0.05,-0.0034964251138726228,0.1,0.95,False
11,0.1,0.95,0.25,-0.1430772786427336,0.2,0.7,False
12,0.2,0.7,0.05,-0.003591649605611902,0.3,0.65,False
13,0.3,0.65,0.0,0.0,0.4,0.65,False
14,0.4,0.65,0.1,-0.02073076862035583,0.5,0.55,False
15,0.5,0.55,0.1,-0.020333999904775517,0.6,0.45,False
16,0.6,0.45,0.0,0.0,0.7,0.45,False
17,0.7,0.45,0.3,-0.21076393848497826,0.8,0.15,False
18,0.8,0.15,0.05,-0.0037186155945975992,0.9,0.1,False
19,0.9,0.1,0.1,-0.019865812820390766,1.0,0.0,True
20,0.0,1.0,0.25,-0.14494209160596108,0.1,0.75,False
21,0.1,0.75,0.1,-0.02100215842181275,0.2,0.65,False
22,0.2,0.65,0.05,-0.004606583980066342,0.3,0.6,False
23,0.3,0.6,0.1,-0.02122276182767542,0.4,0.5,False
24,0.4,0.5,0.05,-0.004309007443381106,0.5,0.45,False
25,0.5,0.45,0.15,-0.049881862114936,0.6,0.3,False
26,0.6,0.3,0.15,-0.050465112126839,0.7,0.15,False
27,0.7,0.15,0.05,-0.0045359591486930475,0.8,0.1,False
28,0.8,0.1,0.05,-0.004623248266120727,0.9,0.05,False
29,0.9,0.05,0.05,-0.004820045549048555,1.0,0.0,True
30,0.0,1.0,0.1,-0.022048040756082493,0.1,0.9,False
31,0.1,0.9,0.15,-0.05329804075608244,0.2,0.75,False
32,0.2,0.75,0.1,-0.022952673427605597,0.3,0.65,False
33,0.3,0.65,0.05,-0.005527880937643832,0.4,0.6,False
